short_2;2020-5-19;14:31:56;S;-76;1;72599;25945898284844;25945913198586;1182299;1182299;2020-5-19;14:53:37;1;72675;25945898322761;25945913878229;9922811;9922811;
short_1;2020-5-19;13:38:20;S;-36;1;72639;25945898210043;25945911745570;1135039;1135039;2020-5-19;14:53:37;1;72675;25945898322762;25945913879150;9305311;9305311;
short_3;2020-5-19;14:48:22;S;-30;1;72645;25945898310264;25945913661284;1174669;1174669;2020-5-19;14:53:37;1;72675;25945898322763;25945913879151;9664711;9664711;
long_2;2020-5-19;16:0:1;B;109;1;72901;25945898475606;25945917020345;1100129;1100129;2020-5-19;16:4:47;1;73010;25945898493773;25945917344433;9210011;9210011;
long_3;2020-5-19;16:24:23;B;-41;1;72851;25945898543031;25945918409523;1119339;1119339;2020-5-19;16:29:24;1;72810;25945898552579;25945918634012;9339111;9339111;
long_2;2020-5-19;16:11:6;B;-120;1;72930;25945898514729;25945917764481;1156369;1156369;2020-5-19;16:29:24;1;72810;25945898552580;25945918634014;9636511;9636511;
short_2;2020-5-19;16:34:53;S;101;1;72900;25945898567372;25945919091865;1158509;1158509;2020-5-19;16:55:41;1;72799;25945898610130;25945920462391;9058511;9058511;
short_2;2020-5-19;17:32:28;S;-124;1;72642;25945898702314;25945922489282;1147999;1147999;2020-5-19;17:41:10;1;72766;25945898719574;25945922981477;9997411;9997411;
short_1;2020-5-19;16:29:30;S;45;1;72811;25945898552839;25945918639579;1180889;1180889;2020-5-19;17:41:10;1;72766;25945898719580;25945922981510;9880811;9880811;
short_3;2020-5-19;17:40:13;S;-43;1;72723;25945898716350;25945922911601;1135039;1135039;2020-5-19;17:41:10;1;72766;25945898719581;25945922981523;9305311;9305311;
long_2;2020-5-19;17:57:52;B;105;1;72679;25945898752899;25945923782614;1182299;1182299;2020-5-19;18:13:45;1;72784;25945898779382;25945924479218;9922811;9922811;
long_2;2020-5-19;18:31:7;B;163;1;72797;25945898813033;25945925290495;1174669;1174669;2020-5-19;19:0:3;1;72960;25950192403671;25950192432679;9664711;9664711;
long_1;2020-5-19;17:41:16;B;2;1;72769;25945898720025;25945922988215;1189609;1189609;2020-5-19;19:25:25;1;72771;25950192438223;25950192936977;9069811;9069811;
long_3;2020-5-19;19:17:8;B;-24;1;72795;25950192427461;25950192780656;1185909;1185909;2020-5-19;19:25:25;1;72771;25950192438224;25950192936992;9095811;9095811;
long_2;2020-5-19;19:8:25;B;-83;1;72854;25950192417647;25950192625404;1117419;1117419;2020-5-19;19:25:25;1;72771;25950192438225;25950192937002;9147111;9147111;
short_2;2020-5-19;20:2:30;S;96;1;72757;25950192465226;25950193423262;1151359;1151359;2020-5-19;21:26:34;1;72661;25950192519629;25950194437241;9531511;9531511;
short_1;2020-5-19;19:27:51;S;34;1;72777;25950192440273;25950192976996;1171059;1171059;2020-5-19;22:0:2;1;72743;25950192546034;25950194867197;9501711;9501711;
short_2;2020-5-19;21:59:9;S;-34;1;72709;25950192543499;25950194831477;1130409;1130409;2020-5-19;22:0:2;1;72743;25950192546035;25950194867198;9040311;9040311;
long_2;2020-5-19;22:10:54;B;130;1;72683;25950192556476;25950195053880;1109149;1109149;2020-5-19;22:20:42;1;72813;25950192565619;25950195207532;9419011;9419011;
long_2;2020-5-19;22:30:2;B;98;1;72763;25950192573861;25950195378693;1136449;1136449;2020-5-19;22:37:38;1;72861;25950192579924;25950195514888;9446311;9446311;
short_2;2020-5-20;10:30:2;S;100;1;72731;25950192703148;25950197545089;1100129;1100129;2020-5-20;10:47:11;1;72631;25950192741211;25950198190116;9210011;9210011;
short_2;2020-5-20;11:0:3;S;102;1;72655;25950192765566;25950198652131;1156369;1156369;2020-5-20;11:11:37;1;72553;25950192809696;25950199295458;9636511;9636511;
short_2;2020-5-20;12:1:3;S;98;1;72393;25950192986486;25950202394049;1119339;1119339;2020-5-20;12:10:20;1;72295;25950193010323;25950202838884;9339111;9339111;
short_2;2020-5-20;12:17:46;S;99;1;72390;25950193028485;25950203210230;1180889;1180889;2020-5-20;12:37:12;1;72291;25950193067195;25950203972160;9880811;9880811;
short_2;2020-5-20;13:30:22;S;100;1;72119;25950193183268;25950206114634;1158509;1158509;2020-5-20;13:38:19;1;72019;25950193196964;25950206405306;9058511;9058511;
short_3;2020-5-20;14:30:1;S;58;1;72059;25950193291818;25950207988936;1135039;1135039;2020-5-20;15:14:43;1;72001;25950193368211;25950209555142;9305311;9305311;
short_2;2020-5-20;14:22:18;S;118;1;72029;25950193274545;25950207703929;1147999;1147999;2020-5-20;15:29:57;1;71911;25950193391761;25950210034245;9997411;9997411;
short_1;2020-5-20;15:26:1;S;-4;1;71955;25950193386107;25950209925473;1189609;1189609;2020-5-20;15:38:38;1;71959;25950193404790;25950210318160;9069811;9069811;
short_2;2020-5-20;15:34:57;S;26;1;71956;25950193399838;25950210203948;1182299;1182299;2020-5-20;15:51:25;1;71930;25950193423670;25950210710899;9922811;9922811;
short_2;;;S;-nan(ind);0;-nan(ind);;;;;;;0;-nan(ind);;;;;
short_3;;;S;-nan(ind);0;-nan(ind);;;;;;;0;-nan(ind);;;;;
short_2;2020-5-21;11:0:0;S;-13;1;71213;25954487833865;25954494625857;1100129;1100129;2020-5-21;11:7:57;1;71226;25954487858646;25954495059457;9210011;9210011;
short_3;2020-5-21;11:0:0;S;-14;1;71213;25954487833866;25954494625864;1156369;1156369;2020-5-21;11:7:57;1;71227;25954487858654;25954495059477;9636511;9636511;
long_3;2020-5-21;11:31:13;B;-36;1;71174;25954487948015;25954496631948;1180889;1180889;2020-5-21;11:36:41;1;71138;25954487961532;25954496880200;9880811;9880811;
long_2;2020-5-21;11:30:0;B;-86;1;71224;25954487941371;25954496541287;1119339;1119339;2020-5-21;11:36:41;1;71138;25954487961533;25954496880201;9339111;9339111;
short_2;2020-5-21;12:8:50;S;-57;1;71107;25954488050469;25954498312440;1147999;1147999;2020-5-21;12:52:23;1;71164;25954488126917;25954499850503;9997411;9997411;
short_1;2020-5-21;11:36:47;S;-31;1;71133;25954487961925;25954496886768;1158509;1158509;2020-5-21;12:52:23;1;71164;25954488126918;25954499850505;9058511;9058511;
short_3;2020-5-21;12:45:42;S;-55;1;71109;25954488117140;25954499651248;1135039;1135039;2020-5-21;12:52:23;1;71164;25954488126919;25954499850509;9305311;9305311;
long_2;2020-5-21;13:14:8;B;98;1;71137;25954488171665;25954500704093;1189609;1189609;2020-5-21;13:22:6;1;71235;25954488189644;25954501054915;9069811;9069811;
long_3;2020-5-21;13:36:41;B;-33;1;71140;25954488218094;25954501683125;1174669;1174669;2020-5-21;13:39:2;1;71107;25954488220795;25954501757782;9664711;9664711;
long_2;2020-5-21;13:30:0;B;-86;1;71193;25954488208238;25954501440129;1182299;1182299;2020-5-21;13:39:2;1;71107;25954488220796;25954501757783;9922811;9922811;
short_2;2020-5-21;14:5:3;S;-41;1;71125;25954488250267;25954502396982;1185909;1185909;2020-5-21;14:35:17;1;71166;25954488301912;25954503490396;9095811;9095811;
short_1;2020-5-21;13:39:9;S;-55;1;71111;25954488221177;25954501762900;1117419;1117419;2020-5-21;14:35:17;1;71166;25954488301913;25954503490431;9147111;9147111;
short_3;2020-5-21;14:35:7;S;-30;1;71136;25954488300972;25954503475698;1171059;1171059;2020-5-21;14:35:17;1;71166;25954488301914;25954503490434;9501711;9501711;
long_2;2020-5-21;15:7:35;B;-108;1;71195;25954488367621;25954504747567;1151359;1151359;2020-5-21;15:32:35;1;71087;25954488404855;25954505513469;9531511;9531511;
short_3;2020-5-21;16:4:45;S;33;1;71123;25954488474316;25954506957285;1109149;1109149;2020-5-21;16:6:58;1;71090;25954488478784;25954507052822;9419011;9419011;
short_2;2020-5-21;16:0:1;S;49;1;71082;25954488466443;25954506761645;1101499;1101499;2020-5-21;16:10:40;1;71033;25954488485643;25954507203084;9941011;9941011;
short_2;2020-5-21;16:13:6;S;99;1;71052;25954488489778;25954507295214;1136449;1136449;2020-5-21;16:23:27;1;70953;25954488510953;25954507681305;9446311;9446311;
short_3;2020-5-21;16:55:33;S;101;1;71093;25954488587415;25954509425443;1116599;1116599;2020-5-21;17:9:30;1;70992;25954488628804;25954510264940;9956111;9956111;
short_2;2020-5-21;16:31:23;S;28;1;70991;25954488532999;25954508092582;1114739;1114739;2020-5-21;17:10:35;1;70963;25954488632241;25954510335215;9374111;9374111;
short_1;2020-5-21;15:32:41;S;83;1;71087;25954488405276;25954505519604;1130409;1130409;2020-5-21;17:11:30;1;71004;25954488634186;25954510388272;9040311;9040311;
long_3;2020-5-21;18:36:11;B;-38;1;71239;25954488922935;25954515969503;1144579;1144579;2020-5-21;19:15:3;1;71201;25958782352102;25958782587040;9754411;9754411;
long_2;2020-5-21;18:30:1;B;-77;1;71278;25954488893392;25954515451465;1198869;1198869;2020-5-21;19:15:3;1;71201;25958782352103;25958782587041;9688911;9688911;
long_2;2020-5-21;20:17:46;B;-57;1;71272;25958782435390;25958783970492;1100129;1100129;2020-5-21;20:47:54;1;71215;25958782463525;25958784536700;9210011;9210011;
long_3;2020-5-21;20:44:43;B;-33;1;71237;25958782461327;25958784485757;1156369;1156369;2020-5-21;21:1:42;1;71204;25958782471710;25958784721166;9636511;9636511;
long_2;2020-5-21;20:48:56;B;-25;1;71229;25958782464433;25958784551788;1119339;1119339;2020-5-21;21:1:42;1;71204;25958782471711;25958784721167;9339111;9339111;
short_2;2020-5-21;21:11:18;S;-31;1;71268;25958782480196;25958784869331;1180889;1180889;2020-5-21;21:51:13;1;71299;25958782506657;25958785441905;9880811;9880811;
long_3;2020-5-22;11:30:1;B;-19;1;72208;25958782913269;25958791776034;1156369;1156369;2020-5-22;11:30:41;1;72189;25958782915549;25958791817920;9636511;9636511;
long_2;2020-5-22;11:30:1;B;-20;1;72209;25958782913271;25958791776038;1100129;1100129;2020-5-22;11:30:41;1;72189;25958782915550;25958791817958;9210011;9210011;
short_2;2020-5-22;11:37:0;S;101;1;72267;25958782934073;25958792197621;1119339;1119339;2020-5-22;11:54:27;1;72166;25958782970607;25958792881630;9339111;9339111;
short_2;2020-5-22;12:25:40;S;102;1;72187;25958783036405;25958794069637;1180889;1180889;2020-5-22;12:38:28;1;72085;25958783056757;25958794560406;9880811;9880811;
short_2;2020-5-22;12:58:36;S;97;1;72132;25958783092772;25958795284536;1158509;1158509;2020-5-22;13:4:13;1;72035;25958783102006;25958795493563;9058511;9058511;
